id,method,verdict,escalated,uncertainty,is_demo,calls_per_item,provisional_pro,provisional_con,Rationale
1,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
2,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
3,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
4,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
5,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
6,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
7,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
8,annollm_explanations_filled,Yes,0,,0,1.0,,,"Complete mandatory statement about two doors connecting identified space types, verifiable from model space and door adjacency data."
9,annollm_explanations_filled,No,0,,0,1.0,,,"Depends on 'required reach depth' specified in an external table, so it is not self-contained."
10,annollm_explanations_filled,,,,1,0,,,HELD OUT AS DEMONSTRATION
11,annollm_explanations_filled,Yes,0,,0,1.0,,,Single self-contained conditional obligation whose sight lines can be computed from seating and wheelchair space geometry.
12,annollm_explanations_filled,No,0,,0,1.0,,,"Bundles several independent security provisions and requires monitoring by an external command center, not decidable from a model."
13,annollm_explanations_filled,Yes,0,,0,1.0,,,Self-contained mandatory sight-line requirement computable from seating geometry in the model.
14,annollm_explanations_filled,No,0,,0,1.0,,,"Lists multiple items with the vague qualifier 'potentially', giving no single testable criterion."
15,annollm_explanations_filled,Yes,0,,0,1.0,,,"Mandatory, quantified seating counts for a named room type, countable directly from the model."
16,annollm_explanations_filled,No,0,,0,1.0,,,"Relies on the vague spatial term 'near lounge areas' and loose furniture provision, requiring subjective judgment."
17,annollm_explanations_filled,Yes,0,,0,1.0,,,Complete mandatory statement with an explicit countable quantity of workstations in a named space.
18,annollm_explanations_filled,Yes,0,,0,1.0,,,"Single obligation for a specific fixture with a stated property at a defined location, verifiable from model objects."
19,annollm_explanations_filled,Yes,0,,0,1.0,,,"Single quantified clearance rule with its exception stated in-text, checkable from geometry and material combustibility attributes."
20,annollm_explanations_filled,No,0,,0,1.0,,,"Defers the determination to a Presidential Decree, so the criterion lies outside the sentence."
21,annollm_explanations_filled,No,0,,0,1.0,,,"Combines three independently passing or failing limits (roof height, eave height, story count) in one provision."
22,annollm_explanations_filled,Yes,0,,0,1.0,,,"Single mandatory construction-type requirement for the first floor, determinable from the model's structural configuration."
23,annollm_explanations_filled,No,0,,0,1.0,,,Offers alternative performance-based waterproofing strategies whose effectiveness requires engineering judgment or testing.
24,annollm_explanations_filled,No,0,,0,1.0,,,"The exception hinges on equivalent-strength reinforcement, requiring structural analysis beyond model data."
25,annollm_explanations_filled,No,0,,0,1.0,,,Garbled fragment interleaving guidance text and referring to external pollution prevention guidelines.
26,annollm_explanations_filled,No,0,,0,1.0,,,"Prescribes a calculation time interval, a procedural matter not verifiable from model geometry or objects."
27,annollm_explanations_filled,No,0,,0,1.0,,,"Applies to 'Category 1 or 2 buildings', a classification defined elsewhere, so it is not self-contained."
28,annollm_explanations_filled,No,0,,0,1.0,,,"Requires design temperatures 'consistent with' intended use and occupancy schedules, a subjective analytical judgment."
29,annollm_explanations_filled,No,0,,0,1.0,,,"Administrative document submission with a permit application, not verifiable from model content."
30,annollm_explanations_filled,No,0,,0,1.0,,,"Requires an energy-use rating derived from empirical analysis and a post-completion process, not model data."
31,annollm_explanations_filled,No,0,,0,1.0,,,"Administrative report submission triggered by comparison with original system capacity, external project data."
32,annollm_explanations_filled,No,0,,0,1.0,,,Relies on the undefined external classification 'major use category' and bundles electricity and heat metering.
33,annollm_explanations_filled,No,0,,0,1.0,,,"A definitional interpretation clause pointing to referenced standards, imposing no checkable obligation."
34,annollm_explanations_filled,Yes,0,,0,1.0,,,Complete mandatory single requirement on a ceiling finish material recorded in the model.
35,annollm_explanations_filled,Yes,0,,0,1.0,,,"Self-contained obligation about separate adjacent spaces, decidable from room functions and adjacency in the model."
36,annollm_explanations_filled,No,0,,0,1.0,,,Uses an external finish-schedule code (PNT-2) and bundles two distinct finish requirements.
37,annollm_explanations_filled,No,0,,0,1.0,,,Truncated fragment ending in 'shall be 1.' with the substantive content residing in an external list.
38,annollm_explanations_filled,No,0,,0,1.0,,,Performance requirement of reliability over service life needing durability analysis and judgment.
39,annollm_explanations_filled,No,0,,0,1.0,,,Depends on project-specific design flow and water-quality data and offers alternative compliance paths.
40,annollm_explanations_filled,No,0,,0,1.0,,,Combines a measurable cavity width with a workmanship condition (clear of mortar droppings) requiring site inspection.
41,annollm_explanations_filled,Yes,0,,0,1.0,,,Complete conditional formula computable from occupant load and exit widths in the model.
42,annollm_explanations_filled,No,0,,0,1.0,,,Performance statement on moisture damage and health hazard requiring physical testing and judgment.
43,annollm_explanations_filled,No,0,,0,1.0,,,Exception hinges on subjective 'space precludes' and 'as near as possible' placement.
44,annollm_explanations_filled,No,0,,0,1.0,,,Bundles many independent device-placement obligations across numerous locations.
45,annollm_explanations_filled,No,0,,0,1.0,,,Grants an exemption from area limits rather than imposing an obligation.
46,annollm_explanations_filled,Yes,0,,0,1.0,,,Single explicit minimum dimension measurable from route geometry in the model.
47,annollm_explanations_filled,Yes,0,,0,1.0,,,Complete mandatory dimensional range verifiable from fixture placement geometry.
48,annollm_explanations_filled,No,0,,0,1.0,,,"Acoustic frequency performance of a signal requires physical testing, not model data."
49,annollm_explanations_filled,No,0,,0,1.0,,,"Requires timed operational testing of a device, not derivable from model data."
50,annollm_explanations_filled,No,0,,0,1.0,,,"Door dwell time is a dynamic performance behavior verified by timing, not by BIM geometry."
51,annollm_explanations_filled,Yes,0,,0,1.0,,,"Complete mandatory rule whose trigger (storeys, floor area) and threshold (90 mm wall thickness) are all model geometry."
52,annollm_explanations_filled,No,0,,0,1.0,,,"Compliance depends on acoustic measurement and noise-character judgment, not model data."
53,annollm_explanations_filled,No,0,,0,1.0,,,Reverberation time requires acoustic analysis/measurement beyond standard model information.
54,annollm_explanations_filled,Yes,0,,0,1.0,,,Self-contained single dimensional rule checkable from bar diameter and cover geometry in the model.
55,annollm_explanations_filled,Yes,0,,0,1.0,,,Self-contained single dimensional rule checkable from column reinforcement geometry in the model.
56,annollm_explanations_filled,Yes,0,,0,1.0,,,"One mandatory requirement with two explicitly quantified alternative geometries, both verifiable from model dimensions and spacing."
57,annollm_explanations_filled,No,0,,0,1.0,,,Relies on external durability grading and chemical treatment certification plus subjective 'risk of decay' assessment.
58,annollm_explanations_filled,No,0,,0,1.0,,,"Although distance is model-derived, compliance requires the actual measured door-closing time of the installed elevator."
